stop_id,stop_name,lon,lat
U180Z1P,"Chmelnice",14.486961,50.092556
U714Z1P,"Strážní",14.481536,50.092316
U837Z1P,"Vozovna Žižkov",14.475441,50.091682
U809Z4P,"Újezd",14.405181,50.081249
U481Z2P,"Švandovo divadlo",14.404121,50.077969
U4Z2P,"Arbesovo náměstí",14.403978,50.075886
U289Z2P,"Kotlářka",14.362015,50.069603
U580Z2P,"Poštovka",14.353424,50.068462
U567Z2P,"Hotel Golf",14.346782,50.068100
U865Z2P,"Vozovna Motol",14.340386,50.067863
U394Z2P,"Motol",14.335685,50.067715
U395Z2P,"Krematorium Motol",14.325691,50.065933
U113Z2P,"Hlušičkova",14.315658,50.063713
U236Z2P,"Slánská",14.308531,50.064552
U47Z2P,"Blatiny",14.302096,50.065804
U612Z12P,"Sídliště Řepy",14.298032,50.065437
U612Z3P,"Sídliště Řepy",14.298885,50.065174
U47Z1P,"Blatiny",14.303621,50.065704
U236Z1P,"Slánská",14.309402,50.064468
U113Z1P,"Hlušičkova",14.316410,50.064014
U395Z1P,"Krematorium Motol",14.326459,50.066227
U394Z1P,"Motol",14.336522,50.067673
U865Z1P,"Vozovna Motol",14.341458,50.067856
U567Z1P,"Hotel Golf",14.346667,50.068031
U580Z1P,"Poštovka",14.354300,50.068550
U4Z1P,"Arbesovo náměstí",14.404202,50.076248
U481Z1P,"Švandovo divadlo",14.404175,50.078484
U809Z2P,"Újezd",14.404652,50.080536
U714Z2P,"Strážní",14.481013,50.092190
U180Z2P,"Chmelnice",14.485838,50.092487
U266Z2P,"Kněžská luka",14.492482,50.092148
U694Z2P,"Spojovací",14.499409,50.091507
U651Z1P,"Sídliště Ďáblice",14.479489,50.132706
U467Z1P,"Třebenická",14.480905,50.129536
U740Z1P,"Štěpničná",14.477281,50.127975
U78Z1P,"Ládví",14.470141,50.126484
U314Z1P,"Kyselova",14.463482,50.126194
U676Z1P,"Střelničná",14.458662,50.125774
U1074Z2P,"Krejcárek",14.474444,50.094891
U373Z1P,"Mezi Hřbitovy",14.471742,50.081657
U921Z3P,"Želivského",14.470650,50.078362
U515Z1P,"Olšanské hřbitovy",14.466456,50.078140
U118Z1P,"Flora",14.461516,50.077919
U518Z1P,"Orionka",14.459496,50.075615
U540Z1P,"Perunova",14.454484,50.075459
U851Z1P,"Vinohradská vodárna",14.449325,50.075439
U744Z1P,"Šumavská",14.444185,50.075401
U612Z2P,"Sídliště Řepy",14.298059,50.065472
